Fri Nov 29 23:17:59 2024    profile_output

         10015535 function calls (9984484 primitive calls) in 17.521 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   17.519   17.519 {built-in method builtins.exec}
      200    0.515    0.003   15.968    0.080 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:714(calcRates)
      200    3.331    0.017   13.271    0.066 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:679(calcRateIntegrals)
       26    0.004    0.000   11.603    0.446 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\asyncio\base_events.py:1947(_run_once)
       26    0.000    0.000   10.653    0.410 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\selectors.py:310(select)
       26    0.004    0.000    8.894    0.342 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\selectors.py:304(_select)
        1    0.000    0.000    7.084    7.084 <string>:1(<module>)
        1    0.000    0.000    7.084    7.084 C:\Users\paulg\AppData\Local\Temp\ipykernel_16924\4136107688.py:20(main)
        1    0.001    0.001    7.084    7.084 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:833(calcIETS)
     7200    0.027    0.000    4.898    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\scipy\integrate\_quadpack_py.py:20(quad)
     7200    0.012    0.000    4.863    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\scipy\integrate\_quadpack_py.py:588(_quad)
     7200    0.462    0.000    4.851    0.001 {built-in method scipy.integrate._quadpack._qagie}
   770483    0.948    0.000    4.780    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:2250(clip)
  1080000    0.956    0.000    4.390    0.000 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:707(<lambda>)
   777244    0.483    0.000    3.865    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
  2160000    3.434    0.000    3.434    0.000 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:684(<lambda>)
   770400    0.934    0.000    3.190    0.000 {method 'clip' of 'numpy.generic' objects}
   770483    2.256    0.000    2.257    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\_methods.py:100(_clip)
      201    0.019    0.000    1.676    0.008 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:161(calcEigEnergies)
      201    1.047    0.005    1.217    0.006 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:287(calcEigStates)
       28    0.000    0.000    1.128    0.040 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\asyncio\events.py:87(_run)
       28    0.000    0.000    1.112    0.040 {method 'run' of '_contextvars.Context' objects}
       18    0.000    0.000    1.075    0.060 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\tornado\platform\asyncio.py:200(_handle_events)
       24    0.000    0.000    1.060    0.044 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\decorator.py:229(fun)
        2    0.000    0.000    1.060    0.530 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\IPython\core\formatters.py:93(format)
       24    0.000    0.000    1.057    0.044 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\IPython\core\formatters.py:222(catch_format_error)
       18    0.000    0.000    1.055    0.059 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\IPython\core\formatters.py:333(__call__)
        2    0.000    0.000    1.054    0.527 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\IPython\core\pylabtools.py:129(print_figure)
        2    0.000    0.000    1.053    0.526 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:2063(print_figure)
        4    0.000    0.000    0.849    0.212 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
   1226/4    0.005    0.000    0.849    0.212 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        4    0.000    0.000    0.849    0.212 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\figure.py:3142(draw)
     10/4    0.000    0.000    0.846    0.211 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
        6    0.000    0.000    0.845    0.141 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:3072(draw)
      600    0.337    0.001    0.650    0.001 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:587(calcTunnelingMatrixElements)
       12    0.001    0.000    0.631    0.053 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1415(draw)
        4    0.000    0.000    0.394    0.099 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:2054(<lambda>)
        4    0.000    0.000    0.394    0.099 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\backend_agg.py:449(print_png)
        4    0.000    0.000    0.394    0.099 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\backend_agg.py:439(_print_pil)
      858    0.013    0.000    0.361    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:918(get_window_extent)
        4    0.000    0.000    0.355    0.089 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\backend_agg.py:380(draw)
       48    0.003    0.000    0.349    0.007 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1347(_get_ticklabel_bboxes)
     1013    0.049    0.000    0.325    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:358(_get_layout)
      103    0.001    0.000    0.322    0.003 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1591(_get_tick)
       80    0.008    0.000    0.299    0.004 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1295(_update_ticks)
      600    0.118    0.000    0.298    0.000 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:621(calcTunnelingElectronMatrixElements)
       12    0.001    0.000    0.288    0.024 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1356(get_tightbbox)
      103    0.005    0.000    0.280    0.003 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:59(__init__)
       87    0.000    0.000    0.265    0.003 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1650(get_major_ticks)
        1    0.003    0.003    0.260    0.260 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:334(showEigenMatrix)
3998/3976    0.009    0.000    0.255    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cbook.py:285(process)
       50    0.001    0.000    0.226    0.005 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:394(__init__)
      182    0.002    0.000    0.224    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:269(draw)
        9    0.001    0.000    0.209    0.023 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:3005(_update_title_position)
       24    0.000    0.000    0.208    0.009 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2188(_get_tick_boxes_siblings)
       15    0.000    0.000    0.203    0.014 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2644(_update_label_position)
   810362    0.185    0.000    0.195    0.000 {built-in method builtins.getattr}
      201    0.167    0.001    0.183    0.001 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:258(H_addDipolarCoupling_new)
      406    0.010    0.000    0.169    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:737(draw)
   773320    0.168    0.000    0.168    0.000 {built-in method builtins.abs}
